# field	phot_id	z_best_s	use_phot	use_zgrism	z_best	z_best_l95	z_best_l68	z_best_u68	z_best_u95
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis	1	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
aegis	2	3	0	0	0.0100	0.0100	0.0110	0.0240	0.0250
aegis	3	3	1	0	0.2062	0.1490	0.1730	0.2440	0.2630
aegis	4	3	0	0	0.0355	0.0110	0.0150	0.0570	0.0670
aegis	5	3	0	0	0.3427	0.3160	0.3260	0.3610	0.3670
aegis	6	3	0	0	0.7217	0.6660	0.6920	0.7510	0.7760
aegis	7	3	0	0	0.0424	0.0110	0.0170	0.0680	0.0950
aegis	8	3	1	0	0.8557	0.0990	0.6660	1.1130	1.3300
aegis	9	3	1	0	0.1806	0.0280	0.0800	0.2750	0.3930
aegis	10	3	1	0	3.3584	3.1120	3.2400	3.4730	3.5630
aegis	11	3	0	0	0.9720	0.8000	0.8790	1.0570	1.1330
aegis	12	3	1	0	1.7448	1.1140	1.3640	2.1000	2.4560
aegis	13	3	1	0	1.3049	1.2520	1.2680	1.3400	1.3780
aegis	14	3	1	0	0.9378	0.8080	0.8830	0.9990	1.0780
aegis	15	3	1	0	0.7853	0.5630	0.6880	3.5770	4.0110
aegis	16	3	0	0	0.0209	0.0100	0.0120	0.0410	0.0530
aegis	17	3	1	0	1.7499	1.5650	1.6280	1.8840	1.9690
aegis	18	3	0	0	1.0720	0.9630	0.9980	1.1370	1.1900
aegis	19	3	1	0	1.0761	0.8190	0.9910	1.1740	1.2180
aegis	20	3	1	0	0.3649	0.2990	0.3320	0.3970	0.4190
aegis	21	3	1	0	0.0329	0.0110	0.0140	0.0540	0.0660
aegis	22	3	1	0	1.6570	1.2300	1.3850	1.9280	2.1530
aegis	23	3	1	0	0.9595	0.7790	0.8750	1.0560	1.1240
aegis	24	3	1	0	0.8832	0.7000	0.7840	0.9680	1.0470
aegis	25	3	1	0	0.5172	0.3570	0.4560	0.5900	0.6690
aegis	26	3	1	0	1.7447	1.5670	1.6660	1.8210	1.9060
aegis	27	3	1	0	0.6806	0.6100	0.6430	0.7140	0.8030
aegis	28	3	1	0	0.7626	0.6880	0.7210	0.8040	0.8480
aegis	29	3	1	0	1.6314	0.5580	1.2220	2.0490	2.3730
aegis	30	3	0	0	1.2462	1.1160	1.1920	1.3010	1.3430
aegis	31	3	1	0	1.4620	0.9880	1.1600	1.6070	1.6550
aegis	32	3	1	0	1.8678	1.5680	1.6080	2.2650	2.7410
aegis	33	3	0	0	0.0372	0.0110	0.0140	0.0640	0.0970
aegis	34	3	0	0	0.1484	0.1030	0.1190	0.1850	0.2000
aegis	35	3	0	0	1.6642	1.1990	1.3740	1.9850	2.2790
aegis	36	3	0	0	0.6376	0.5760	0.6070	0.6680	0.6830
aegis	37	3	1	0	2.3198	1.9420	2.1480	2.4890	2.6440
aegis	38	3	0	0	4.7012	4.5670	4.6140	4.7880	4.8580
aegis	39	3	0	0	2.0086	1.4590	1.6800	2.2890	2.5570
aegis	40	3	0	0	3.2456	3.0090	3.1400	3.3570	3.4340
aegis	41	3	1	0	1.3261	0.0520	1.2310	1.4100	1.5210
aegis	42	3	0	0	2.4537	2.3420	2.4130	2.9360	3.3130
aegis	43	3	1	0	2.5942	2.3000	2.4470	2.7370	2.8430
aegis	44	3	1	0	1.6196	1.5620	1.5760	1.6640	1.7060
aegis	45	3	1	0	1.3434	1.1500	1.2200	1.4490	1.8170
aegis	46	3	1	0	1.2171	1.1510	1.1780	1.2570	1.2900
aegis	47	3	0	0	1.4085	1.1330	1.2430	1.5580	1.8120
aegis	48	3	1	0	0.6655	0.5870	0.6240	0.7070	0.7370
aegis	49	3	1	0	3.1189	2.9280	3.0240	3.2120	3.2790
aegis	50	3	1	0	1.1934	1.0510	1.1310	1.2580	1.3030
aegis	51	3	0	0	2.3839	2.2790	2.3240	2.4420	2.5520
aegis	52	3	1	0	2.1005	1.9920	2.0250	2.2880	2.4380
aegis	53	3	1	0	0.6432	0.5880	0.6150	0.6710	0.6850
aegis	54	3	0	0	1.4231	1.3210	1.3650	1.4820	1.5360
aegis	55	3	1	0	0.6970	0.6220	0.6540	0.7410	0.8040
aegis	56	3	1	0	0.5647	0.4630	0.5010	0.6300	0.6760
aegis	57	3	0	0	1.6004	1.5620	1.5690	1.6310	1.6380
aegis	58	3	1	0	2.6975	2.3570	2.5330	2.8610	2.9930
aegis	59	3	1	0	2.8729	2.6430	2.7580	2.9870	3.0840
aegis	60	3	1	0	1.7271	1.4460	1.5580	1.8910	2.0450
aegis	61	3	1	0	1.0774	0.9780	1.0210	1.1320	1.1950
aegis	62	3	1	0	0.8011	0.6350	0.7100	0.9010	0.9820
aegis	63	3	1	0	1.2187	1.1060	1.1630	1.2750	1.3220
aegis	64	3	1	0	3.8754	3.2210	3.5470	4.1830	4.3830
aegis	65	3	1	0	1.8317	1.4640	1.5960	2.1320	2.3050
aegis	66	3	1	0	1.5985	1.2990	1.4200	1.7810	1.9200
aegis	67	3	1	0	1.5785	1.0990	1.3370	1.8280	2.0380
aegis	68	3	0	0	0.0538	0.0360	0.0400	0.0670	0.0760
aegis	69	3	1	0	0.9235	0.6900	0.8090	1.0370	1.1150
aegis	70	3	1	0	1.0916	0.9830	1.0210	1.1480	1.1990
aegis	71	3	1	0	1.3887	1.0540	1.1880	1.4620	1.5130
aegis	72	3	1	0	3.4888	3.3490	3.4060	3.5720	3.6350
aegis	73	3	1	0	2.2613	2.0810	2.1620	2.3660	2.4470
aegis	74	3	0	0	0.0166	0.0100	0.0110	0.0340	0.0510
aegis	75	3	0	0	0.5489	0.4900	0.5160	0.5850	0.6750
aegis	76	3	0	0	1.0531	0.6980	0.8950	1.2070	1.6080
aegis	77	3	0	0	1.7756	1.4820	1.6050	1.9500	2.1080
aegis	78	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
aegis	79	3	1	0	1.3008	1.1400	1.1940	1.4000	1.5090
aegis	80	3	1	0	1.6255	1.2790	1.3990	1.8790	2.1140
aegis	81	3	1	0	0.0405	0.0130	0.0260	0.0650	2.3440
aegis	82	3	1	0	0.5234	0.4540	0.4820	0.5630	0.6010
aegis	83	3	1	0	0.7250	0.6630	0.6890	0.7630	0.7950
aegis	84	3	1	0	2.5454	2.3610	2.4500	2.6640	2.7540
aegis	85	3	0	0	2.6517	2.5350	2.5800	2.7210	2.7890
aegis	86	3	1	0	2.2949	1.5750	2.0550	2.5560	2.7830
aegis	87	3	1	0	2.5730	2.3280	2.4410	2.7050	2.7950
aegis	88	3	1	0	2.1415	1.4820	1.8420	2.4420	2.6540
aegis	89	3	0	0	2.6108	0.0110	0.0190	2.6560	2.6980
aegis	90	3	1	0	0.5693	0.4220	0.4930	0.6510	0.7130
aegis	91	3	1	0	0.9172	0.7400	0.8130	1.0260	1.0920
aegis	92	3	1	0	1.6899	1.3980	1.4880	1.9380	2.0780
aegis	93	3	1	0	0.4639	0.3580	0.4060	0.5210	0.5620
aegis	94	3	1	0	1.0846	1.0190	1.0430	1.1260	1.1450
aegis	95	3	1	0	0.2744	0.1250	0.1860	0.4100	0.5400
aegis	96	3	1	0	1.7156	1.4590	1.5620	1.8450	1.9490
aegis	97	3	1	0	2.6200	2.2620	2.4410	2.8200	2.9540
aegis	98	3	1	0	0.7894	0.6910	0.7210	0.8600	1.0310
aegis	99	3	0	0	0.0100	0.0100	0.0110	0.0240	0.0410
aegis	100	3	1	0	1.8365	1.3960	1.5800	2.0760	2.2940
aegis	101	3	1	0	0.4121	0.1790	0.2970	0.5260	0.6020
aegis	102	3	1	0	0.5708	0.4710	0.5130	0.6330	0.6920
aegis	103	3	1	0	2.5363	2.4200	2.4760	2.5960	2.6500
aegis	104	3	1	0	2.1275	2.2480	2.2640	2.4450	2.5820
aegis	105	3	1	0	1.1918	0.8920	1.0210	1.2710	1.3580
aegis	106	3	1	0	0.4193	0.3050	0.3710	0.4660	0.5340
aegis	107	3	0	0	2.5870	2.5220	2.5350	2.6330	2.6940
aegis	108	3	1	0	0.5189	0.2660	0.3810	0.6560	0.7700
aegis	109	3	1	0	0.5414	0.3550	0.4710	0.6120	0.6510
aegis	110	3	1	0	0.6943	0.6110	0.6530	0.7360	0.7660
aegis	111	3	1	0	2.5006	1.6260	2.1750	2.8200	3.1280
aegis	112	3	0	0	0.5338	0.4610	0.4910	0.5750	0.6090
aegis	113	3	1	0	2.2218	1.5140	1.9000	2.5250	2.7320
aegis	114	3	0	0	1.2797	0.0460	0.4670	1.4720	1.5240
aegis	115	3	1	0	0.5204	0.3690	0.4550	0.5900	0.6430
aegis	116	3	0	0	0.0100	0.0100	0.0110	0.0240	0.0250
aegis	117	3	1	0	0.5468	0.1930	0.2840	0.7710	3.2400
aegis	118	3	1	0	1.1963	0.9100	1.0500	1.3350	1.5060
aegis	119	3	1	0	1.7224	1.3130	1.4860	1.9480	2.1590
aegis	120	3	1	0	2.8700	2.4630	2.6490	3.0930	3.2890
aegis	121	3	0	0	1.3086	1.1690	1.2500	1.3760	1.4750
aegis	122	3	1	0	0.8608	0.7450	0.7930	0.9370	0.9930
aegis	123	3	1	0	3.8269	3.3420	3.6140	4.0320	4.1800
aegis	124	3	1	0	2.2501	0.9840	1.6060	3.3780	4.8370
aegis	125	3	1	0	2.1196	1.3780	1.8210	2.3760	2.5090
aegis	126	3	1	0	1.5689	1.2540	1.3530	1.7810	2.0240
aegis	127	3	0	0	1.4380	1.2480	1.4170	1.4800	1.5000
aegis	128	3	1	0	1.1888	0.7730	0.9270	1.4340	1.7590
aegis	129	3	1	0	1.3036	0.2430	0.6480	2.0030	2.5810
aegis	130	3	1	0	1.3865	1.2690	1.3220	1.4530	1.5160
aegis	131	3	1	0	1.2677	0.7190	1.0040	1.4210	1.5060
aegis	132	3	1	0	2.9790	2.8570	2.9070	3.0480	3.1050
aegis	133	3	1	0	3.0383	3.1230	3.1470	3.3490	3.4560
aegis	134	3	0	0	1.4861	1.1730	1.3360	1.5750	2.3600
aegis	135	3	1	0	0.7194	0.4960	0.5880	0.8390	0.9450
aegis	136	3	0	0	3.0379	2.3150	2.4170	3.1420	3.2470
aegis	137	3	1	0	1.5375	1.1630	1.2970	1.7830	2.0860
aegis	138	3	1	0	0.5666	0.4750	0.5180	0.6170	0.6550
aegis	139	3	1	0	0.3617	0.2480	0.3190	0.4070	0.4370
aegis	140	3	1	0	0.5372	0.3710	0.4370	0.5110	0.5160
aegis	141	3	1	0	0.8274	0.2870	0.6850	1.0030	1.1470
aegis	142	3	0	0	1.7767	1.5170	1.6560	1.8990	1.9430
aegis	143	3	1	0	0.8536	0.7460	0.7890	0.9230	0.9760
aegis	144	3	1	0	1.4650	0.9780	1.1600	1.9020	2.2860
aegis	145	3	1	0	0.7842	0.6870	0.7230	0.8420	0.9320
aegis	146	3	1	0	2.7813	2.7030	2.7330	2.8380	2.8700
